Chg, spotDist, metRelChg, volDiff, target
17, 104, 84, 6, WRITE?
62, 39, 108, 10, HOLD?
62, 39, 108, 10, HOLD?
17, 41, 84, 11, HOLD?
71, 112, 131, 17, WRITE?
24, 129, 75, 10, HOLD?
86, 212, 79, 10, HOLD?
65, 43, 89, 11, HOLD?
34, 108, 47, 10, WRITE?
67, 84, 104, 10, HOLD?
57, 86, 42, 6, HOLD?
101, 106, 119, 32, WRITE?
12, 170, 88, 10, HOLD?
11, 71, 49, 13, HOLD?
65, 96, 89, 11, WRITE?
5, 110, 82, 39, WRITE?
97, 160, 133, 7, HOLD?
49, 19, 84, 8, HOLD?
137, 135, 111, 11, HOLD?
9, 160, 99, 13, HOLD?
22, 107, 74, 10, WRITE?
97, 117, 133, 3, WRITE?
49, 29, 84, 8, HOLD?
17, 168, 84, 11, HOLD?
49, 157, 84, 8, HOLD?
67, 243, 104, 10, HOLD?
32, 178, 102, 8, HOLD?
67, 137, 104, 10, HOLD?
8, 124, 59, 6, HOLD?
8, 82, 59, 10, WRITE?
23, 118, 84, 5, WRITE?
19, 223, 69, 11, HOLD?
68, 223, 136, 8, HOLD?
14, 182, 9, 11, HOLD?
17, 30, 84, 11, HOLD?
14, 104, 87, 11, WRITE?
121, 71, 143, 7, WRITE?
0, 236, 89, 12, HOLD?
12, 24, 66, 10, HOLD?
16, 29, 53, 8, HOLD?
62, 92, 108, 10, WRITE?
9, 149, 99, 13, HOLD?
12, 117, 88, 212, WRITE?
86, 85, 79, 10, HOLD?
11, 167, 49, 13, HOLD?
93, 61, 93, 11, HOLD?
92, 77, 116, 11, HOLD?
24, 97, 75, 10, WRITE?
67, 137, 104, 10, HOLD?
0, 183, 89, 12, HOLD?
65, 179, 124, 11, HOLD?
121, 188, 143, 7, HOLD?
22, 98, 26, 11, HOLD?
32, 115, 102, 8, WRITE?
4, 168, 66, 11, HOLD?
9, 107, 59, 11, WRITE?
14, 203, 9, 11, HOLD?
16, 156, 53, 8, HOLD?
54, 119, 87, 7, WRITE?
65, 64, 89, 11, HOLD?
78, 142, 72, 11, HOLD?
1, 140, 58, 12, HOLD?
80, 215, 110, 10, HOLD?
80, 215, 110, 10, HOLD?
80, 108, 110, 10, WRITE?
117, 115, 107, 9, WRITE?
19, 234, 69, 11, HOLD?
137, 61, 111, 11, HOLD?
32, 85, 91, 10, WRITE?
8, 61, 59, 10, HOLD?
72, 32, 130, 9, HOLD?
97, 192, 133, 7, HOLD?
