imp_v,spotDist,u%Chg,oLast,target
34,46,12,145,HOLD
34,46,55,144,HOLD
34,44,13,148,HOLD
34,45,42,147,HOLD
33,44,55,150,HOLD
33,45,16,146,HOLD
33,46,5,145,HOLD
33,46,17,145,HOLD
33,46,62,144,HOLD
33,44,23,148,HOLD
33,44,74,150,HOLD
33,46,75,145,HOLD
33,48,27,140,HOLD
32,49,34,138,HOLD
32,50,34,136,HOLD
32,51,24,134,HOLD
32,51,16,132,HOLD
32,52,11,131,HOLD
32,52,48,130,HOLD
33,53,18,127,HOLD
33,54,3,126,HOLD
33,54,26,126,HOLD
33,54,12,125,HOLD
33,54,10,125,HOLD
33,54,46,125,HOLD
33,55,21,122,HOLD
33,56,0,121,HOLD
33,56,31,121,HOLD
33,57,3,119,HOLD
33,57,39,119,HOLD
33,56,28,121,HOLD
33,56,93,119,HOLD
33,54,78,125,HOLD
